1.000000000000000000e+00 1.350789661062738213e-03
1.199999999999999956e+00 1.466288192929828416e-03
1.399999999999999911e+00 1.832234266615318007e-03
1.599999999999999867e+00 2.552316720892012104e-03
1.799999999999999822e+00 3.916065482374378112e-03
1.999999999999999778e+00 6.590449278734417451e-03
2.199999999999999734e+00 1.237086578145699459e-02
2.399999999999999467e+00 2.555190848734636283e-02
2.599999999999999645e+00 5.754360456635902732e-02
2.799999999999999822e+00 1.315676134709986844e-01
2.999999999999999556e+00 2.647612690596576890e-01
3.199999999999999289e+00 4.219379535411549309e-01
3.399999999999999467e+00 5.202270472643683030e-01
3.599999999999999645e+00 5.873459105901637223e-01
3.799999999999999378e+00 7.903025657645397217e-01
3.999999999999999112e+00 1.017464373774438435e+00
4.199999999999999289e+00 9.918387537165078705e-01
4.399999999999999467e+00 9.340811595931016731e-01
4.599999999999999645e+00 8.719772389753397412e-01
4.799999999999998934e+00 8.152068115524728764e-01
4.999999999999999112e+00 6.735020857785889437e-01
5.199999999999999289e+00 6.986672902681432262e-01
5.399999999999998579e+00 2.122290713035754894e+00
5.599999999999998757e+00 6.258111130540517486e+00
5.799999999999998934e+00 1.253044246616678015e+00
5.999999999999999112e+00 3.210708788150156145e+00
6.199999999999999289e+00 2.739296407708960324e+00
6.399999999999998579e+00 6.004439632589890302e-07
6.599999999999998757e+00 7.900016800579586551e+00
6.799999999999998934e+00 9.147549482316644220e-02
6.999999999999998224e+00 3.603703745275310677e+00
7.199999999999998401e+00 3.720548954654497864e-01
7.399999999999998579e+00 9.006071299675881547e-02
7.599999999999998757e+00 9.845988535243680648e-07
7.799999999999998934e+00 5.210197409907066479e+00
7.999999999999998224e+00 1.191194318470528923e+00
8.199999999999999289e+00 8.850051275708493981e-02
8.399999999999998579e+00 1.339309895300209996e-01
8.599999999999997868e+00 8.555638927001638083e-02
8.799999999999997158e+00 9.143985456085911012e-02
8.999999999999998224e+00 1.799101907151362312e+00
9.199999999999997513e+00 3.379147774443455043e-01
9.399999999999998579e+00 1.035314055914005327e-01
9.599999999999997868e+00 1.222089887870620450e-01
9.799999999999997158e+00 5.120187786457069734e+00
