    1     1 0.99426493
    3     2 0.99263123
    4     2 0.99294642
    6     1 0.99267152
    8     1 0.99428897
   10     2 0.99190199
   11     2 0.99312147
   13     1 0.99380860
   15     1 0.99438102
   17     2 0.99389909
   19     1 0.99238216
   21     1 0.99466207
   23     2 0.99230358
   25     1 0.99342806
   27     1 0.99223787
   29     2 0.99256953
   31     1 0.99452022
   33     1 0.99178720
   35     2 0.99483905
   37     1 0.99062618
   39     1 0.99197214
   41     2 0.99223134
   43     1 0.99063776
   45     1 0.99171901
   47     2 0.99207495
   49     1 0.99320010
   51     1 0.98834266
   53     2 0.99228908
   55     1 0.99457506
   57     1 0.99560899
   59     2 0.99259125
   61     1 0.99141526
   63     1 0.99034131
   65     2 0.99073585
   67     1 0.99191716
   69     1 0.99478624
   71     2 0.99462858
   73     1 0.99165581
   75     1 0.99546462
   77     2 0.99168479
   79     1 0.99348326
   81     1 0.99307397
   83     2 0.99357607
   85     1 0.99326012
   87     1 0.99176173
   89     2 0.99418940
   91     1 0.99375010
   93     1 0.99231209
   95     2 0.99239574
   97     1 0.99542734
   99     1 0.99536185
  101     2 0.99362473
  103     1 0.99369834
  105     1 0.99224318
