    1     1 0.96875345
    3     2 0.93649361
    4     2 0.90816413
    6     1 0.89629070
    8     1 0.90048458
   10     2 0.86444395
   12     1 0.85987592
   14     3 0.78768028
   16     1 0.77807513
   18     1 0.78678068
   20     2 0.75084840
   22     1 0.74496073
   24     2 0.72024809
   26     1 0.71841982
   28     1 0.71706340
   30     2 0.69033748
   31     2 0.66312594
   33     2 0.63511029
   34     2 0.61472294
   36     1 0.61396985
   38     1 0.61091476
   40     2 0.58643373
   42     1 0.58804106
   44     2 0.57033754
   46     1 0.56826289
   48     3 0.52121009
   50     1 0.51852226
   52     1 0.51881156
