    1     1 0.30768932
    3     2 0.94131141
    4     2 0.91471678
    6     1 0.86612325
    8     1 0.87171045
   10     2 0.88691130
   12     1 0.86587283
   14     2 0.85588276
   16     1 0.83571735
   18     2 0.83766761
   20     1 0.79984008
   22     1 0.80624290
   24     2 0.79001234
   26     1 0.77743463
   28     1 0.78481638
   30     2 0.78277784
   32     1 0.77611905
   34     1 0.76333315
   36     2 0.77371182
   38     1 0.76959035
   40     1 0.76360526
   42     2 0.75850812
   44     1 0.73782085
   46     2 0.74422395
   48     1 0.71386146
   50     2 0.72421161
   52     1 0.71826185
   54     1 0.71051592
   56     2 0.70874130
   57     2 0.68940808
   59     1 0.69383722
   61     2 0.67834149
   63     1 0.66875865
   65     2 0.67460202
   67     1 0.65684929
   69     2 0.64676097
   71     1 0.63823927
   73     2 0.63796952
   75     1 0.61618124
   77     1 0.61498380
   79     2 0.64395094
   81     1 0.61247443
   83     1 0.60906103
   85     2 0.60849423
   87     1 0.59600834
   89     1 0.61074762
   91     2 0.58980450
   93     1 0.53973207
   95     1 0.55552486
   97     2 0.55520819
   99     1 0.52566907
  101     2 0.51876057
  103     1 0.51347953
  105     2 0.52228057
  107     1 0.48521917
  109     1 0.48990289
  111     2 0.49464121
  112     2 0.46830591
  114     1 0.45577405
  999     1 0.47978720
