 1  1 1.00000000
 3  2 0.98666394
 4  2 0.95319074
 6  1 0.92252010
 8  1 0.90437388
10  2 0.89296424
12  1 0.87282652
14  3 0.86686569
16  1 0.79723692
18  1 0.78563488
20  2 0.78111172
22  1 0.75777578
24  2 0.75113362
26  1 0.73097837
28  1 0.72522479
30  2 0.72380018
31  2 0.69413072
33  1 0.67136228
35  1 0.66376984
37  2 0.65995902
39  1 0.64299113
41  2 0.63783693
43  1 0.61819327
45  2 0.61243111
47  2 0.59728873
48  2 0.57332492
50  1 0.55491281
52  1 0.54875493
54  2 0.54599792
56  1 0.53114259
58  2 0.52687836
60  1 0.51194215
62  3 0.50772130
64  1 0.46872485
66  1 0.46520093
