  1   1 0.97816582
  3   2 0.97705218
  4   2 0.97893169
  6   1 0.97815819
  8   1 0.97649090
 10   2 0.98613595
 12   1 0.97231674
 14   3 0.98127072
 16   1 0.97734005
 18   1 0.97416842
 20   2 0.97713163
 22   1 0.98022481
 24   2 0.96834971
 26   1 0.98315352
 28   1 0.97700674
 30   2 0.98299182
 31   2 0.97484492
 33   1 0.98525559
 35   1 0.97865368
 37   2 0.97914105
 39   1 0.96992223
 41   2 0.98380878
 43   1 0.97962979
 45   2 0.97336177
 47   2 0.97634367
 48   2 0.98642819
 50   1 0.97519134
 52   1 0.97440174
 54   2 0.97085448
 56   1 0.98218912
 58   2 0.97732951
 60   1 0.97809467
 62   3 0.97567137
 64   1 0.98107116
 66   1 0.97440494
