  1   1 0.98052286
  3   2 0.98189449
  4   2 0.97686891
  6   1 0.98083674
  8   1 0.97751638
 10   2 0.97821062
 12   1 0.98285049
 14   2 0.98154093
 16   1 0.97789263
 18   2 0.98176099
 20   1 0.97576499
 22   1 0.97850112
 24   2 0.97505114
 26   1 0.97894502
 28   1 0.97603905
 30   2 0.97779896
 32   1 0.98199705
 34   1 0.97454567
 36   2 0.98214055
 38   1 0.98000346
 40   1 0.96942026
 42   2 0.97447952
 44   1 0.97737385
 46   2 0.98154830
 48   1 0.97799479
 50   2 0.97673661
 52   1 0.98837625
 54   1 0.97980241
 56   2 0.98465343
 57   2 0.98842264
 59   1 0.98068135
 61   2 0.97419074
 63   1 0.97882262
 65   2 0.97655866
 67   1 0.97302700
 69   2 0.98240946
 71   1 0.97323993
 73   2 0.97623455
 75   1 0.98106996
 77   1 0.97884976
 79   2 0.98472377
 81   1 0.98055209
 83   1 0.98286313
 85   2 0.98074727
 87   1 0.96665748
 89   1 0.98759541
 91   2 0.97221832
 93   1 0.98296768
 95   1 0.97669733
 97   2 0.97878483
 99   1 0.97604670
101   2 0.97668721
103   1 0.97575051
105   2 0.97588490
107   1 0.97424727
109   1 0.98451716
111   2 0.97587016
112   2 0.98088475
114   1 0.98285844
