    1     1 0.99344143
    3     2 0.99300029
    4     2 0.99310269
    6     1 0.99588456
    8     1 0.99149982
   10     2 0.99332500
   11     2 0.99270921
   13     1 0.99362565
   15     1 0.99148430
   17     2 0.99191365
   19     1 0.99320126
   21     1 0.99193959
   23     2 0.99299162
   25     1 0.99397052
   27     1 0.99286513
   29     2 0.99174942
   31     1 0.99372519
   33     1 0.99417609
   35     2 0.99168014
   37     1 0.99391587
   39     1 0.99200949
   41     2 0.99342194
   43     1 0.99484051
   45     1 0.99442848
   47     2 0.99327859
   49     1 0.99292771
   51     1 0.99255468
   53     2 0.99423629
   55     1 0.99556885
   57     1 0.99202439
   59     2 0.99060617
   61     1 0.99222198
   63     1 0.99379447
   65     2 0.99621451
   67     1 0.99101887
   69     1 0.99354233
   71     2 0.99429095
   73     1 0.99380415
   75     1 0.99299013
   77     2 0.99304739
   79     1 0.99377861
   81     1 0.99400476
   83     2 0.99593599
   85     1 0.99113964
   87     1 0.99188801
   89     2 0.99210964
   91     1 0.99418797
   93     1 0.99490811
   95     2 0.99347794
   97     1 0.99536216
   99     1 0.99279879
  101     2 0.99566031
  103     1 0.99486611
  105     1 0.99273944
