    1     1 0.97600395
    3     2 0.93480664
    4     2 0.90699033
    6     1 0.89832845
    8     1 0.90001816
   10     2 0.86197351
   12     1 0.86165687
   14     3 0.76906664
   16     1 0.76297026
   18     2 0.74115832
   20     1 0.73920998
   22     2 0.71679439
   24     1 0.71505696
   26     1 0.71332313
   28     2 0.69079349
   30     2 0.65432805
   32     1 0.65495756
   34     2 0.63845328
   36     1 0.63189539
   38     2 0.61759193
   40     1 0.61277741
   42     3 0.54765892
   44     1 0.54563703
   46     1 0.54860588
