    1     1 0.89601477
    3     2 0.89696386
    4     2 0.82943963
    6     1 0.83974304
    8     1 0.86677085
   10     2 0.83711913
   11     2 0.82489700
   13     1 0.84236138
   15     1 0.83340315
   17     2 0.81355789
   19     1 0.84347033
   21     1 0.82336494
   23     2 0.79011086
   25     1 0.77853922
   27     1 0.78648410
   29     2 0.73186739
   31     1 0.72026369
   33     1 0.70309706
   35     2 0.66285391
   37     1 0.63574504
   39     1 0.66407553
   41     2 0.61990359
   43     1 0.62098708
   45     1 0.60920949
   47     2 0.56691888
   49     1 0.61551829
   51     1 0.58602270
   53     2 0.53334434
   55     1 0.53740819
   57     1 0.58999117
   59     2 0.57065339
   61     1 0.58874613
   63     1 0.58673452
   65     2 0.57772345
   67     1 0.54650911
   69     1 0.56644936
   71     2 0.51794102
   73     1 0.52064303
   75     1 0.50991525
   77     2 0.47371507
   79     1 0.47371084
   81     1 0.48848183
   83     2 0.43880687
   85     1 0.43687865
   87     1 0.43539898
   89     2 0.41519636
   91     1 0.39518842
   93     1 0.38881616
   95     2 0.38034150
   97     1 0.36276755
   99     1 0.36471554
  101     2 0.33886327
  103     1 0.33518736
  105     1 0.33492367
